date,volume
7/8/1985,151737600
8/8/1985,147772800
9/8/1985,60950400
12/8/1985,54992000
13-08-1985,42380800
14-08-1985,289900800
15-08-1985,105190400
16-08-1985,83753600
19-08-1985,47868800
20-08-1985,66953600
21-08-1985,77011200
22-08-1985,123312000
23-08-1985,44016000
26-08-1985,35660800
27-08-1985,42918400
28-08-1985,40947200
29-08-1985,56112000
30-08-1985,42873600
3/9/1985,37452800
4/9/1985,47555200
5/9/1985,32816000
6/9/1985,92803200
9/9/1985,132316800
10/9/1985,121766400
11/9/1985,87091200
12/9/1985,111171200
13-09-1985,70537600
16-09-1985,36982400
17-09-1985,183747200
18-09-1985,120086400
19-09-1985,186323200
20-09-1985,135228800
23-09-1985,118585600
24-09-1985,88099200
25-09-1985,104496000
26-09-1985,53491200
27-09-1985,1001504
30-09-1985,36646400
1/10/1985,88345600
2/10/1985,21504000
3/10/1985,48921600
4/10/1985,69529600
7/10/1985,91929600
8/10/1985,86979200
9/10/1985,82812800
10/10/1985,261744000
11/10/1985,118294400
14-10-1985,155187200
15-10-1985,293888000
16-10-1985,288444800
17-10-1985,348185600
18-10-1985,230428800
21-10-1985,118876800
22-10-1985,424547200
23-10-1985,148377600
24-10-1985,272630400
25-10-1985,63280000
28-10-1985,59472000
29-10-1985,130883200
30-10-1985,226576000
31-10-1985,155075200
1/11/1985,92556800
4/11/1985,155724800
5/11/1985,107542400
6/11/1985,200457600
7/11/1985,317139200
8/11/1985,294112000
11/11/1985,178774400
12/11/1985,173644800
13-11-1985,101561600
14-11-1985,139507200
15-11-1985,81580800
18-11-1985,64556800
19-11-1985,94326400
20-11-1985,99075200
21-11-1985,102950400
22-11-1985,128755200
25-11-1985,97193600
26-11-1985,164460800
27-11-1985,191721600
29-11-1985,99030400
2/12/1985,100195200
3/12/1985,155075200
4/12/1985,165110400
5/12/1985,125148800
6/12/1985,65452800
9/12/1985,139865600
10/12/1985,200905600
11/12/1985,237619200
12/12/1985,125260800
13-12-1985,251148800
16-12-1985,288915200
17-12-1985,109065600
18-12-1985,559798400
19-12-1985,270121600
20-12-1985,206035200
